196,Lorenzo Taliaferro,20,RB,BAL,9,132,202,172.5,25.1,265,4.6,3.1,0.03
197,Stevan Ridley,20,RB,NYJ,5,124,284,182.8,40.4,191,3.5,3.8,0.09
198,Kenny Britt,19,WR,STL,6,127,185,160.1,19.6,212,6.1,3.4,0.06
199,Baltimore Ravens,20,DST,BAL,9,147,200,176.7,17.9,224,8,5,0.18
200,Niles Paul,20,TE,WAS,8,119,285,171.1,46.6,320,2.7,6.4,0.28
201,Stephen Gostkowski,20,K,NE,,,,,,,8.6,3.3,0.05
202,Justin Tucker,20,K,BAL,,,,,,,8.2,4.3,0.12
203,Mason Crosby,20,K,GB,,,,,,,8.2,4.1,0.11
204,Steven Hauschka,20,K,SEA,,,,,,,8.1,3.6,0.07
205,Connor Barth,20,K,DEN,,,,,,,8.1,9.6,0.53
206,Cody Parkey,20,K,PHI,,,,,,,8,4.1,0.11
207,Adam Vinatieri,20,K,IND,,,,,,,8,4.5,0.14
208,Matt Bryant,20,K,ATL,,,,,,,7.8,4.6,0.15
209,Dan Bailey,20,K,DAL,,,,,,,7.8,4.2,0.12
210,Chandler Catanzaro,20,K,ARI,,,,,,,7.5,3.9,0.09
211,Dan Carpenter,20,K,BUF,,,,,,,7.4,3.9,0.1
212,Garrett Hartley,20,K,PIT,,,,,,,7.4,10.3,0.58
213,Dustin Hopkins,20,K,NO,,,,,,,7.4,4.4,0.13
214,Josh Brown,20,K,NYG,,,,,,,7.2,4.6,0.14
215,Blair Walsh,20,K,MIN,,,,,,,7.2,3.8,0.09
216,Graham Gano,20,K,CAR,,,,,,,7.2,3.1,0.03
217,Cairo Santos,20,K,KC,,,,,,,7.1,4.1,0.11
218,Caleb Sturgis,20,K,MIA,,,,,,,7.1,4.5,0.14
219,Nick Novak,20,K,SD,,,,,,,7.1,4.4,0.13
220,Phil Dawson,20,K,SF,,,,,,,7,4.3,0.13
221,Nick Folk,20,K,NYJ,,,,,,,7,3.6,0.07
222,Randy Bullock,20,K,HOU,,,,,,,6.9,3.7,0.08
223,Greg Zuerlein,20,K,STL,,,,,,,6.9,3.6,0.07
224,Mike Nugent,20,K,CIN,,,,,,,6.8,4,0.1
225,Matt Prater,20,K,DET,,,,,,,6.8,4.6,0.15
226,Kai Forbath,20,K,WAS,,,,,,,6.6,4.2,0.11
227,Robbie Gould,20,K,CHI,,,,,,,6.5,3.2,0.04
228,Sebastian Janikowski,20,K,OAK,,,,,,,6.5,3.5,0.07
229,Travis Coons,20,K,CLE,,,,,,,6.4,4.4,0.13
230,Ryan Succop,20,K,TEN,,,,,,,6.3,4,0.1
231,Patrick Murray,20,K,TB,,,,,,,6.2,4.7,0.15
232,Josh Scobee,20,K,JAC,,,,,,,6,4.2,0.11
233,Carey Spear,20,K,CLE,,,,,,,6,4.4,0.13
